Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-05-05,9374.5498046875,9377.099609375,9272.0,9285.2998046875,231900,0,0
2017-05-08,9311.4501953125,9338.7001953125,9297.9501953125,9314.0498046875,174300,0,0
2017-05-09,9337.349609375,9338.9501953125,9307.7001953125,9316.849609375,132300,0,0
2017-05-10,9339.650390625,9414.75,9336.0,9407.2998046875,152700,0,0
2017-05-11,9448.599609375,9450.650390625,9411.2998046875,9422.400390625,171100,0,0
2017-05-12,9436.650390625,9437.75,9372.5498046875,9400.900390625,154300,0,0
2017-05-15,9433.5498046875,9449.25,9423.099609375,9445.400390625,140800,0,0
2017-05-16,9461.0,9517.2001953125,9456.349609375,9512.25,166500,0,0
2017-05-17,9517.599609375,9532.599609375,9486.099609375,9525.75,205500,0,0
2017-05-18,9453.2001953125,9489.099609375,9418.099609375,9429.4501953125,193300,0,0
2017-05-19,9469.900390625,9505.75,9390.75,9427.900390625,252100,0,0
2017-05-22,9480.25,9498.650390625,9427.900390625,9438.25,196800,0,0
2017-05-23,9445.0498046875,9448.0498046875,9370.0,9386.150390625,224400,0,0
2017-05-24,9410.900390625,9431.900390625,9341.650390625,9360.5498046875,211800,0,0
2017-05-25,9384.0498046875,9523.2998046875,9379.2001953125,9509.75,289200,0,0
2017-05-26,9507.75,9604.900390625,9495.400390625,9595.099609375,218800,0,0
2017-05-29,9560.0498046875,9637.75,9547.7001953125,9604.900390625,235000,0,0
2017-05-30,9590.650390625,9635.2998046875,9581.2001953125,9624.5498046875,193900,0,0
2017-05-31,9636.5498046875,9649.599609375,9609.25,9621.25,414300,0,0
2017-06-01,9603.5498046875,9634.650390625,9589.900390625,9616.099609375,176100,0,0
2017-06-02,9657.150390625,9673.5,9637.4501953125,9653.5,162200,0,0
2017-06-05,9656.2998046875,9687.2001953125,9640.7001953125,9675.099609375,127700,0,0
2017-06-06,9704.25,9709.2998046875,9630.2001953125,9637.150390625,145900,0,0
2017-06-07,9663.9501953125,9678.5498046875,9630.5498046875,9663.900390625,160700,0,0
2017-06-08,9682.400390625,9688.7001953125,9641.5,9647.25,155400,0,0
2017-06-09,9638.5498046875,9676.25,9608.150390625,9668.25,159000,0,0
2017-06-12,9646.7001953125,9647.0498046875,9598.5,9616.400390625,141400,0,0
2017-06-13,9615.5498046875,9654.150390625,9595.400390625,9606.900390625,129700,0,0
2017-06-14,9621.5498046875,9627.400390625,9580.4501953125,9618.150390625,181800,0,0
2017-06-15,9617.900390625,9621.400390625,9560.7998046875,9578.0498046875,171100,0,0
2017-06-16,9595.4501953125,9615.849609375,9565.5,9588.0498046875,213200,0,0
2017-06-19,9626.400390625,9673.2998046875,9614.900390625,9657.5498046875,141700,0,0
2017-06-20,9670.5,9676.5,9643.75,9653.5,159500,0,0
2017-06-21,9648.099609375,9650.4501953125,9608.599609375,9633.599609375,144000,0,0
2017-06-22,9642.650390625,9698.849609375,9617.75,9630.0,198800,0,0
2017-06-23,9643.25,9647.650390625,9565.2998046875,9574.9501953125,175200,0,0
2017-06-27,9594.0498046875,9615.400390625,9473.4501953125,9511.400390625,203300,0,0
2017-06-28,9520.2001953125,9522.5,9474.349609375,9491.25,172400,0,0
2017-06-29,9522.9501953125,9575.7998046875,9493.7998046875,9504.099609375,259300,0,0
2017-06-30,9478.5,9535.7998046875,9448.75,9520.900390625,179600,0,0
2017-07-03,9587.9501953125,9624.0,9543.5498046875,9615.0,183000,0,0
2017-07-04,9645.900390625,9650.650390625,9595.5,9613.2998046875,144800,0,0
2017-07-05,9619.75,9643.650390625,9607.349609375,9637.599609375,130800,0,0
2017-07-06,9653.599609375,9700.7001953125,9639.9501953125,9674.5498046875,147400,0,0
2017-07-07,9670.349609375,9684.25,9642.650390625,9665.7998046875,141800,0,0
2017-07-10,9719.2998046875,9782.150390625,9646.4501953125,9771.0498046875,37500,0,0
2017-07-11,9797.4501953125,9830.0498046875,9778.849609375,9786.0498046875,179700,0,0
2017-07-12,9807.2998046875,9824.9501953125,9787.7001953125,9816.099609375,145500,0,0
2017-07-13,9855.7998046875,9897.25,9853.4501953125,9891.7001953125,181300,0,0
2017-07-14,9913.2998046875,9913.2998046875,9845.4501953125,9886.349609375,159600,0,0
2017-07-17,9908.150390625,9928.2001953125,9894.7001953125,9915.9501953125,163500,0,0
2017-07-18,9832.7001953125,9885.349609375,9792.0498046875,9827.150390625,293900,0,0
2017-07-19,9855.9501953125,9905.0498046875,9851.650390625,9899.599609375,200200,0,0
2017-07-20,9920.2001953125,9922.5498046875,9863.4501953125,9873.2998046875,161100,0,0
2017-07-21,9899.599609375,9924.7001953125,9838.0,9915.25,187500,0,0
2017-07-24,9936.7998046875,9982.0498046875,9919.599609375,9966.400390625,174500,0,0
2017-07-25,10010.5498046875,10011.2998046875,9949.099609375,9964.5498046875,185500,0,0
2017-07-26,9983.650390625,10025.9501953125,9965.9501953125,10020.650390625,197600,0,0
2017-07-27,10063.25,10114.849609375,10005.5,10020.5498046875,287900,0,0
2017-07-28,9996.5498046875,10026.0498046875,9944.5,10014.5,191600,0,0
2017-07-31,10034.7001953125,10085.900390625,10016.9501953125,10077.099609375,237700,0,0
2017-08-01,10101.0498046875,10128.599609375,10065.75,10114.650390625,184300,0,0
2017-08-02,10136.2998046875,10137.849609375,10054.2001953125,10081.5,161500,0,0
2017-08-03,10081.150390625,10081.150390625,9998.25,10013.650390625,192700,0,0
2017-08-04,10008.599609375,10075.25,9988.349609375,10066.400390625,178600,0,0
2017-08-07,10074.7998046875,10088.099609375,10046.349609375,10057.400390625,137400,0,0
2017-08-08,10068.349609375,10083.7998046875,9947.0,9978.5498046875,203300,0,0
2017-08-09,9961.150390625,9969.7998046875,9893.0498046875,9908.0498046875,169200,0,0
2017-08-10,9872.849609375,9892.650390625,9776.2001953125,9820.25,235500,0,0
2017-08-11,9712.150390625,9771.650390625,9685.5498046875,9710.7998046875,285900,0,0
2017-08-14,9755.75,9818.2998046875,9752.099609375,9794.150390625,195600,0,0
2017-08-16,9825.849609375,9903.9501953125,9773.849609375,9897.2998046875,219500,0,0
2017-08-17,9945.5498046875,9947.7998046875,9883.75,9904.150390625,197600,0,0
2017-08-18,9865.9501953125,9865.9501953125,9783.650390625,9837.400390625,246300,0,0
2017-08-21,9864.25,9884.349609375,9740.099609375,9754.349609375,205300,0,0
